game_id,run_id,timestamp,language,n_rounds_known,max_rounds,played_rounds,agent1_name,agent1_llm,agent1_personality,agent1_noise_rate,agent1_total_score,agent1_cooperation_rate,agent1_defection_rate,agent1_flipped_count,agent1_flipped_rounds,agent1_strategies,agent1_intended_strategies,agent2_name,agent2_llm,agent2_personality,agent2_noise_rate,agent2_total_score,agent2_cooperation_rate,agent2_defection_rate,agent2_flipped_count,agent2_flipped_rounds,agent2_strategies,agent2_intended_strategies,time_checker_accuracy,rule_checker_accuracy,aggregation_checker_accuracy,llm_name,noise_level,original_game_id
Mistral-7B-Instruct-v0.3__noise00__game_3,4,2026-02-12T08:24:04.587171,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9737,0.6905,0.4722,Mistral-7B-Instruct-v0.3,0,game_3
Mistral-7B-Instruct-v0.3__noise00__game_0,1,2026-02-12T08:24:06.732407,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.5,Mistral-7B-Instruct-v0.3,0,game_0
Mistral-7B-Instruct-v0.3__noise00__game_2,3,2026-02-12T08:24:08.203427,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,104,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,274,0.5667,0.4333,0,,"C,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,D,C,C,D,D","C,D,D,D,D,D,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,D,C,C,C,D,C,C,D,D",0.9605,0.619,0.2222,Mistral-7B-Instruct-v0.3,0,game_2
Mistral-7B-Instruct-v0.3__noise00__game_1,2,2026-02-12T08:24:08.468715,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,298,0.9667,0.0333,0,,"C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,selfish,0.0,8,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",1.0,1.0,0.0,Mistral-7B-Instruct-v0.3,0,game_1
Mistral-7B-Instruct-v0.3__noise00__game_6,7,2026-02-12T08:25:28.813205,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,40,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,290,0.8333,0.1667,0,,"C,D,C,C,C,C,C,C,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,D,C,C,C,C,C,C,D,D,D,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",0.9474,0.5476,0.1944,Mistral-7B-Instruct-v0.3,0,game_6
Mistral-7B-Instruct-v0.3__noise00__game_4,5,2026-02-12T08:25:29.138088,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,68,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,58,0.9667,0.0333,0,,"C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",0.9605,0.881,0.1944,Mistral-7B-Instruct-v0.3,0,game_4
Mistral-7B-Instruct-v0.3__noise00__game_7,8,2026-02-12T08:25:36.531636,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,selfish,0.0,240,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9737,0.6905,0.5,Mistral-7B-Instruct-v0.3,0,game_7
Mistral-7B-Instruct-v0.3__noise00__game_5,6,2026-02-12T08:25:37.482494,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,298,0.9667,0.0333,0,,"C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,D,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,selfish,0.0,8,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",1.0,1.0,0.0,Mistral-7B-Instruct-v0.3,0,game_5
Mistral-7B-Instruct-v0.3__noise00__game_8,9,2026-02-12T08:26:53.957470,en,True,30,30,agent1,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",agent2,VLLMMistral7B,cooperative,0.0,60,1.0,0.0,0,,"C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C","C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C",1.0,0.8571,0.4444,Mistral-7B-Instruct-v0.3,0,game_8
Mistral-7B-Instruct-v0.3__noise00__game_10,11,2026-02-12T08:26:54.336729,en,True,30,30,agent1,VLLMMistral7B,selfish,0.0,216,0.0,1.0,0,,"D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",agent2,VLLMMistral7B,cooperative,0.0,246,0.1,0.9,0,,"C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D","C,D,D,C,C,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D,D",0.9737,0.6905,0.2222,Mistral-7B-Instruct-v0.3,0,game_10
