game_id,agent_name,personality,cooperation_rate,state_action_seq,nice,forgiving,retaliatory,troublemaking,emulative,predicted_strategy,prediction_confidence
game_5,agent1,cooperative,0.8333,EC SC SC SC SC SD PC SC SC SC SC SC SD TC SC SC SC SD PC SD PC SC SC SC SD TC SC SC SC SC,1,0.96,0.18181818181818182,0.0,0.2413793103448276,AllC,0.9999994
game_5,agent2,selfish,0.1667,ED TD TD TD PD PD PD PC SD PC SD PD PC SD PD PD PD PD PD PD PD PD PD PD PC SD TD PD TC SD,0,0.7142857142857143,0.6666666666666666,0.8333333333333334,0.7241379310344828,AllD,0.99366426
game_5,agent3,mixed,0.3,EC SC SC SD PD PD PD PD TD PD TD PD PC SD PD PD PD PD PD PC SD PD PD PD PC SC SD PC SD TC,1,0.7272727272727273,0.625,0.5,0.6896551724137931,AllD,0.89106965
game_0,agent1,cooperative,0.9667,EC RC RC SC SC SC RC RC RD PC SC SC RC RC SC SC SC SC RC RC SC SC RC RC SC SC SC RC RC SC,1,1.0,0.0,0.07142857142857142,0.41379310344827586,AllC,0.9998287
game_0,agent2,cooperative,0.7,EC RC RC SC SD TC RC RC RC SD TD PC RC RC SD TC SD TC RC RC SD TC RC RD TC SD TC RC RD TC,1,0.875,0.8,0.13636363636363635,0.8275862068965517,TFT,0.8860471
game_0,agent3,cooperative,0.7333,EC RC RD TD TC SC RC RC RD PC SD PC RC RD TC SD TC SC RC RD TC SC RC RC SD TC SC RC RC SC,0,1.0,0.25,0.25,0.5862068965517241,AllC,0.900766
game_2,agent1,cooperative,0.8,EC RC SC SD PC RC RC SC SC RC RC RD TC RC SD TC SC RD TC SC SC SC SC SD PC RC SC SC SD TC,1,0.9333333333333333,0.2857142857142857,0.14285714285714285,0.5172413793103449,AllC,0.9968972
game_2,agent2,cooperative,0.7667,EC RD PC SC SC RC RD PC SC RC RC RC SC RC SC SD TC RC SC SC SC SC SC SC SC RD TD TD PC SD,0,0.9411764705882353,0.07692307692307693,0.38461538461538464,0.3103448275862069,AllC,0.9994772
game_2,agent3,mixed,0.5333,EC RD PD TD PC RC RD PD TC RC RC RC SC RD TC SC SC RC SD TD TD TD TD TD PC RC SC SD PC SD,0,0.5333333333333333,0.5,0.5,0.4482758620689655,AllD,0.4422606
game_11,agent1,selfish,0.0667,ED PD TD TD TD PD PC SD PC SD TD PD PD PD TD PD PD TD PD PD PD PD TD PD PD PD PD PD PD PD,0,0.2,0.5,1.0,0.6896551724137931,AllD,0.7876182
game_11,agent2,cooperative,0.6667,ED PC SC SC SC SC SD PD PD PC SC SC SD PC SD PD PC SC SC SD PC SC SC SC SD PC SD PC SC SC,0,0.9523809523809523,0.3157894736842105,1.0,0.3103448275862069,AllC,0.9963347
game_11,agent3,mixed,0.3333,EC SC SC SC SD PD PD PD PD PC SD PD PD PC SC SD PC SD PD PD PD PC SD PD PD PD PC SD PD PD,1,0.9,0.6363636363636364,0.0,0.6896551724137931,TFT,0.78870916
game_14,agent1,selfish,0.1333,ED PD PD PC SD PD PC SD PD PD PD PD PD PD PD PD PC SD PD PD PD PD PD PD PD TD TD PD PD PC,0,0.5714285714285714,1.0,1.0,0.7931034482758621,AllD,0.9943678
game_14,agent2,selfish,0.2,ED PC SD PD TD PD PC SD PD PD PD PD PD PD PD PD PD TD PD PD PD PD PD PD PC SC SD PC SC SD,0,0.6666666666666666,0.6666666666666666,1.0,0.7241379310344828,AllD,0.9996475
game_14,agent3,mixed,0.3667,EC SD PC SC SD PC SD TD PC SD PD PD PD PD PD PC SC SC SD PD PD PC SD PD PC SC SD PD PD PD,1,0.8333333333333334,0.7272727272727273,0.5,0.6206896551724138,WSLS,0.9999267
game_12,agent1,selfish,0.1,EC SD TD PD PD PC SD TD PD PD PD PD PD PD PD PD PD PD PD PD PC SD PD PD PD PD PD PD PD PD,1,0.4,1.0,0.6666666666666666,0.8620689655172413,TFT,1.0
game_12,agent2,selfish,0.1667,ED PC SD PD PD PD TC SD PD PD PD PD PD PC SD PD PD PD PD PD PD TD PD PD PD PC SD PD PC SD,0,0.7142857142857143,0.8,0.6666666666666666,0.8275862068965517,AllD,0.94448376
